repo,issue_id,issue_total_tokens,issue_body_tokens,issue_comment_tokens,issue_num_sections,issue_num_comments,issue_has_satd,issue_satd_section_ratio,issue_satd_token_ratio,issue_satd_primary_type,issue_sentiment_score,issue_sentiment_variance,issue_priority_score
visit,Issue_597,359,0,2,7,1,0,0.0,0.0,,1.0,0.0,0.13109638933150092
visit,Issue_596,404,0,91,9,5,0,0.0,0.0,,-0.7821782178217822,1.090350619220338,0.15158427665566201
visit,Issue_592,588,0,15,7,1,0,0.0,0.0,,0.7789115646258503,1.3841570641862189,0.029939764602465918
visit,Issue_584,1858,0,384,20,14,0,0.0,0.0,,-0.589881593110872,1.8198655683797185,0.13548275381222105
visit,Issue_570,766,0,226,20,12,0,0.0,0.0,,0.5143603133159269,1.0588224065880882,0.08567339899290982
visit,Issue_564,3906,0,2606,33,25,1,0.18181818181818182,0.46134152585765487,scientific_debt,0.3143881208397337,0.8130325079435625,0.054962367827289645
visit,Issue_559,639,0,96,11,5,1,0.09090909090909091,0.13302034428794993,requirement_debt,0.9624413145539906,0.351389314690247,0.04104122379969239
visit,Issue_558,591,0,165,17,9,0,0.0,0.0,,0.6852791878172588,0.5827756751390296,0.07438270140092451
visit,Issue_556,1320,0,263,19,13,1,0.05263157894736842,0.02878787878787879,documentation_debt,-0.7712121212121212,1.6759483591899853,0.1863485484552009
visit,Issue_555,784,0,214,16,8,0,0.0,0.0,,-0.04336734693877551,1.066931747188671,0.03559688488745124
visit,Issue_545,1723,0,994,28,20,1,0.10714285714285714,0.3035403366221706,code/design_debt,-0.0632617527568195,1.0491890156167363,0.08175558936534337
visit,Issue_540,462,0,150,12,6,1,0.08333333333333333,0.008658008658008658,requirement_debt,0.4069264069264069,0.7586626937276287,0.09804633732506322
visit,Issue_539,1587,0,1177,25,17,1,0.16,0.10586011342155009,documentation_debt,0.6068052930056711,0.8342240057747077,0.07468540268920862
visit,Issue_535,968,0,487,28,20,1,0.07142857142857142,0.2572314049586777,scientific_debt,0.03925619834710744,0.9735009074321618,0.10219879668940247
visit,Issue_531,1118,0,714,18,12,1,0.1111111111111111,0.2745974955277281,requirement_debt,0.29159212880143115,0.7610347153551379,0.11881887946644346
visit,Issue_527,965,0,419,15,7,1,0.26666666666666666,0.3170984455958549,code/design_debt,0.6994818652849741,1.0229536363392306,0.06326731125593489
visit,Issue_513,2583,0,2149,34,26,1,0.14705882352941177,0.24777390631049168,code/design_debt,-0.03368176538908246,1.0209472644897732,0.06253121889616584
visit,Issue_511,919,0,307,17,9,1,0.11764705882352941,0.04461371055495103,code/design_debt,0.5408052230685527,0.7198529942844655,0.053790823544821675
visit,Issue_507,1678,0,1245,29,23,1,0.034482758620689655,0.028605482717520857,test_debt,0.28843861740166865,0.7450274225031814,0.06501054450569732
